BACODE,fossil,nuclear,renewable
YAD,0.0,0.0,100.0
AZPS,83.52824780987372,0.0,16.471752190126267
DEAA,100.0,0.0,0.0
AECI,90.04527625803418,0.0,9.954723741965816
AVRN,41.46270694709967,0.0,58.53729305290033
AVA,34.31631776313305,0.0,65.68368223686696
BANC,43.029526400711894,0.0,56.970473599288106
BPAT,17.059934958714482,8.890198904019982,74.04986613726555
CISO,41.96273009602376,9.42150365144232,48.61576625253393
CEA,84.91572148234991,0.0,15.084278517650077
HST,99.99999999999999,0.0,0.0
TPWR,0.32278653511132865,0.0,99.67721346488865
TAL,96.63866130948563,0.0,3.3613386905143763
DUK,40.568397318536675,54.88993899252591,4.5416636889374224
FPC,93.81379224901363,0.0,6.186207750986366
CPLE,42.90232513858865,46.40758200458087,10.690092856830475
CPLW,0.0,0.0,100.0
EPE,88.50020989730454,0.0,11.499790102695439
ERCO,62.57195509581454,8.60572022351857,28.822324680666906
FMPP,97.09765025875572,0.0,2.9023497412442714
FPL,71.37691253110177,21.399547155410772,7.223540313487476
GVL,78.54007793904027,0.0,21.459922060959727
GRID,100.0,0.0,0.0
GRIS,0.0,0.0,100.0
GRIF,100.0,0.0,0.0
HECO,83.84153116528555,0.0,16.15846883471445
ISNE,58.27878808334592,22.716235895188497,19.00497602146557
IPCO,22.531998345570187,0.0,77.46800165442981
IID,19.508342077329345,0.0,80.49165792267065
JEA,93.21260813063272,0.0,6.7873918693672985
LGEE,98.92286695333793,0.0,1.07713304666208
LDWP,77.02253830168374,0.0,22.977461698316265
MISO,68.50086617451139,13.398329333559381,18.100804491929217
GWA,0.0,0.0,100.0
WWA,0.0,0.0,100.0
NEVP,69.04184498230074,0.0,30.958155017699262
NBSO,25.60470872690474,0.0,74.39529127309525
HGMA,100.0,0.0,0.0
NYIS,50.661425172190036,21.218539448694905,28.12003537911506
NAN,100.0,0.0,0.0
NA - AK,64.61663008451829,0.0,35.38336991548171
NA - HI,70.8684826771805,0.0,29.131517322819523
NA - PR,97.69469945117463,0.0,2.30530054882538
NWMT,71.70124648439854,0.0,28.298753515601454
PJM,60.037130364853944,33.1205467281478,6.842322906998269
DOPD,0.0,0.0,100.0
PACE,73.37522209416866,0.0,26.62477790583133
PACW,35.133197125967456,0.0,64.86680287403253
PGE,74.58285831364857,0.0,25.417141686351435
PSCO,55.365130950761184,0.0,44.63486904923881
PNM,40.38135768742697,0.0,59.61864231257303
CHPD,0.0,0.0,100.0
GCPD,0.0,0.0,100.0
PSEI,73.68901314558997,0.0,26.310986854410046
SRP,51.66084475066884,45.410558911482376,2.9285963378487927
SCL,0.02834875959603206,0.0,99.97165124040399
SEC,99.44515069691818,0.0,0.554849303081821
SCEG,59.941058721858475,28.85995212529085,11.198989152850666
SC,91.1648123098777,0.0,8.835187690122314
SEPA,0.0,0.0,100.0
SOCO,69.59985237002263,20.81155241094932,9.588595219028045
SWPP,53.52232804517014,6.167973513877849,40.30969844095202
SPA,21.96981575265974,0.0,78.03018424734026
TEC,91.32243729216496,0.0,8.677562707835023
TVA,47.60451294630069,41.69862360880303,10.696863444896291
TEPC,80.98103190069675,0.0,19.01896809930326
TIDC,75.58691048836863,0.0,24.413089511631362
WALC,44.49702175180386,0.0,55.50297824819616
WACM,82.44767866357397,0.0,17.552321336426054
WAUW,0.0,0.0,100.0
