BACODE,COAL,GAS,OIL,OFSL,OTHF,NUCLEAR,BIOMASS,GEOTHERMAL,HYDRO,SOLAR,WIND
YAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AZPS,0.5657925411417178,0.2693449388953402,0.00014499806167909577,0.0,0.0,0.0,0.011926013268196149,0.0,0.0,0.11622451021342961,0.03656699841963693
DEAA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AECI,0.3991911872096318,0.5006674462052414,0.0005941291654685179,0.0,0.0,0.0,0.0006181694859855669,0.0,0.0013944552823773964,0.00010768718815044473,0.09742692546314474
AVRN,0.0,0.4146270694709967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809236020571342,0.5044493284718691
AVA,0.0,0.33474414922026385,1.0188164646763374e-05,0.008408840246419864,0.0,0.0,0.0886346172237892,0.0,0.4851284405424533,0.004542759319829384,0.07853100528259764
BANC,0.0,0.4302553338444844,3.9930162634556544e-05,0.0,0.0,0.0,0.008733503893570192,0.0,0.5222469393354919,0.03872429276381895,0.0
BPAT,0.0438723504148641,0.12664698102885413,8.00181434265929e-05,0.0,0.0,0.08890198904019982,0.011543578069127933,0.0009337060346606614,0.6420610839496521,0.0033412531854165655,0.08261904013379819
CISO,0.0011105937059898902,0.41295290110947125,0.0003841799461558266,0.005179626198620625,0.0,0.0942150365144232,0.02427570485520102,0.04280484444681767,0.12427364037161014,0.2206870352532463,0.07411643759846419
CEA,0.0,0.8491572148234992,0.0,0.0,0.0,0.0,0.017823312388942827,0.0,0.11182472659326971,0.0,0.02119474619428823
HST,-0.0,0.009368978562421186,0.9906310214375788,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TPWR,0.0,0.0028030453803604997,0.00042481997075278697,0.0,0.0,0.0,0.07847595277987707,0.0,0.9182961818690095,0.0,0.0
TAL,0.0,0.966041769667618,0.0003448434272382803,0.0,0.0,0.0,0.0,0.0,0.0,0.03361338690514376,0.0
DUK,0.08229635632768403,0.3232401216210752,0.00014749523660752292,0.0,0.0,0.5488993899252591,0.002805902352373483,0.0,0.010187992798022119,0.03242274173897862,0.0
FPC,0.08113966671466159,0.8474600012590543,0.0013788237320801512,0.0081594307843402,0.0,0.0,0.013472775058870436,0.0,0.0,0.048389302450993224,0.0
CPLE,0.0791426071401084,0.3488872503046409,0.0009933939411372551,0.0,0.0,0.46407582004580866,0.02070133275802103,0.0,0.009101568753869175,0.07695121281344501,0.0001468142429695363
CPLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EPE,0.0,0.8847695212109479,0.00023257776209765056,0.0,0.0,0.0,0.002557135065001575,0.0,0.0,0.09105899554755927,0.021381770414393562
ERCO,0.12781724336585956,0.49386374912126624,0.0004506932578123624,0.003587865213207252,0.0,0.0860572022351857,0.0008719232130326223,0.0,0.0007384696203861671,0.059258338904391805,0.22735451506885845
FMPP,0.201862357256847,0.7690508446633204,6.330066738982704e-05,0.0,0.0,0.0,0.0011889262075311575,0.0,0.0,0.027834571204911555,0.0
