BACODE,ba_weight,BANAME,ci_total_g_per_kwh,ci_combustion_g_per_kwh,weight_share
AZPS,1364851.8,Arizona Public Service Company,656.31822229358,774.49853915049,0.014603378327570273
BPAT,6179584.32,Bonneville Power Administration,96.36932774546,529.07240832985,0.06611912570440329
CISO,593930.8983172567,California Independent System Operator,167.53252749002002,375.84799855911,0.0063548273948575
DOPD,696945.6000000001,PUD No. 1 of Douglas County,0.0,0.0,0.007457044252376311
DUK,2299920.48,Duke Energy Carolinas,219.81857357229,538.1252048503101,0.024608246032841823
ERCO,5267747.16,"Electric Reliability Council of Texas, Inc.",332.93816035711006,531.61071123237,0.05636282614087761
GCPD,2079221.04,"Public Utility District No. 2 of Grant County, Washington",0.0,0.0,0.022246848686255993
MISO,8194918.680000001,"Midcontinent Independent Transmission System Operator, Inc..",445.41954267734,639.51398576219,0.08768241200085812
NEVP,1887561.0,Nevada Power Company,319.72183947242,462.14031821265,0.020196161516852506
NYIS,116157.6,New York Independent System Operator,217.36690681244,418.64579944572,0.0012428407087293851
PACE,1451970.0,PacifiCorp - East,639.5811174329501,872.70446240208,0.015535508859117312
PACW,6501921.66,PacifiCorp - West,139.1666750397,349.58908266744004,0.06956800867112732
PGE,52270.920000000006,Portland General Electric Company,360.66898348943005,481.85661775944,0.0005592783189282233
PJM,37532866.15951004,"PJM Interconnection, LLC",324.81296023330003,533.3157649512,0.4015869299841819
PNM,1335812.4000000001,Public Service Company of New Mexico,178.82788468776,441.66062270715,0.01429266815038793
PSCO,87118.20000000001,Public Service Company of Colorado,364.07818374235,653.44471462963,0.0009321305315470389
PSEI,98733.96,Puget Sound Energy,291.0656879053,387.43864438971997,0.0010564146024199773
SCEG,1800442.8,South Carolina Electric & Gas Company,337.99843683683,543.06482575961,0.019264030985305467
SOCO,1939831.9200000002,"Southern Company Services, Inc. - Trans",382.26088748617,522.76747438685,0.02075543983578073
SWPP,7346968.2,Southwest Power Pool,395.31754385662,733.8308080334,0.0786096748271336
SRP,2323152.0,Salt River Project,250.20790158518002,484.10326076805006,0.0248568141745877
TVA,2903940.0,Tennessee Valley Authority,290.76087383266,603.30234608798,0.031071017718234624
WACM,1405506.96,Western Area Power Administration - Rocky Mountain Region,848.0077186326901,1029.44693459454,0.015038372575625557
