region_B_1,Total_MW_scaled,COAL,GAS,OIL,OFSL,OTHF,NUCLEAR,BIOMASS,GEOTHERMAL,HYDRO,SOLAR,WIND
PJM,32834181.557339095,0.1380315522879734,0.4553004085914515,0.0019102585065364,0.005129084262578,0.0,0.331205467281478,0.0086452592934913,0.0,0.0078385522749069,0.017358328620986,0.0345810888805983
MISO,7169008.800000001,0.2855385172456058,0.3853177003955293,0.004283485529638,0.0098689585743406,0.0,0.1339832933355938,0.0128968468810959,0.0,0.0122171324956997,0.0140130352376876,0.1418810303048088
SWPP,6427212.0,0.2566773219477892,0.2765862390964987,0.0009272845089873,0.0010324348984259,0.0,0.0616797351387784,0.0039166056185366,0.0,0.0298847902034361,0.0036784432496318,0.3656171453379155
PACW,5687955.6,0.0,0.3513319712596746,0.0,0.0,0.0,0.0,0.0467544824435596,0.0,0.3632773897443226,0.0986777565480661,0.139958400004377
BPAT,5405971.2,0.0438723504148641,0.1266469810288541,8.00181434265929e-05,0.0,0.0,0.0889019890401998,0.0115435780691279,0.0009337060346606,0.6420610839496521,0.0033412531854165,0.0826190401337981
ERCO,4608285.600000001,0.1278172433658595,0.4938637491212662,0.0004506932578123,0.0035878652132072,0.0,0.0860572022351857,0.0008719232130326,0.0,0.0007384696203861,0.0592583389043918,0.2273545150688584
TVA,2540400.0,0.1373342432004438,0.3380160347588853,0.0006948515036777,0.0,0.0,0.4169862360880303,0.0059033298431027,0.0,0.091149435951308,0.0098175440514965,9.832460305563276e-05
SRP,2032320.0,0.0442896714866026,0.4722071838859658,0.00011159213412,0.0,0.0,0.4541055891148237,0.0,0.0,0.0047424636958994,0.022936455239245,0.0016070444433434
DUK,2011996.7999999998,0.082296356327684,0.3232401216210752,0.0001474952366075,0.0,0.0,0.5488993899252591,0.0028059023523734,0.0,0.0101879927980221,0.0324227417389786,0.0
GCPD,1818926.4000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SOCO,1696987.2,0.1486693347626507,0.5459019313685829,0.0010642189474513,0.0003630386215413,0.0,0.2081155241094932,0.0352143047252324,0.0,0.0246208102619504,0.0360508372030975,0.0
NEVP,1651260.0,0.0568362131626379,0.6333644428208448,0.0002177938395246,0.0,0.0,0.0,0.0014809556782713,0.1015172254768797,0.0021966115666251,0.1963497160996443,0.008037041355572
SCEG,1575048.0,0.1566738678582031,0.4411314166374002,0.0014066104637152,0.0001986922592662,0.0,0.2885995212529085,0.0229753412833829,0.0,0.0181495654394959,0.0708649848056277,0.0
PACE,1270200.0,0.4810865921513684,0.2455333962546223,0.0006360633650186,0.0064961691706772,0.0,0.0,0.0015686307396966,0.008378762736811,0.0143531477984068,0.0749655086200653,0.1669817291633336
WACM,1229553.6,0.7289325731135594,0.0945519742215632,0.0009922393006169,0.0,0.0,0.0,0.0002904524170808,0.0,0.0415717934271441,0.0141201539599746,0.1195408135600609
AZPS,1193988.0,0.5657925411417178,0.2693449388953402,0.000144998061679,0.0,0.0,0.0,0.0119260132681961,0.0,0.0,0.1162245102134296,0.0365669984196369
PNM,1168584.0,0.0,0.4037809460475583,3.2630826711409315e-05,0.0,0.0,0.0,0.0007717478869247,0.0021155449600291,0.0,0.0861475217802169,0.5071516084985594
DOPD,609696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CISO,519577.558105594,0.0011105937059898,0.4129529011094712,0.0003841799461558,0.0051796261986206,0.0,0.0942150365144232,0.024275704855201,0.0428048444468176,0.1242736403716101,0.2206870352532463,0.0741164375984641
NYIS,101616.0,0.0,0.4957108782959145,0.0032506352365215,0.0076527381894643,0.0,0.212185394486949,0.0125424627666997,0.0,0.2160881596954948,0.0157796841331115,0.0367900471958445
PSEI,86373.59999999999,0.0,0.7181253502529142,0.0011245708900222,0.0176402103129631,0.0,0.0,0.0143633101935363,0.0,0.0617679930803784,0.0024192905558914,0.1845592747142942
PSCO,76212.0,0.1681552096173837,0.3845854060325001,0.000910693857728,0.0,0.0,0.0,0.0032018505367979,0.0,0.0050154744703035,0.0816721621460503,0.3564592033392362
PGE,45727.199999999895,0.0,0.7440072347116334,0.0,0.0018213484248522,0.0,0.0,0.0026530909630295,0.0,0.1236353319919735,0.018432840135265,0.1094501537732461
