Plant latitude,Plant longitude,Plant annual net generation (MWh),Plant primary fuel category
38.176167,-99.099984,-311799.999,OIL
44.8047,-95.557,-107000.001,OIL
41.4931,-88.1153,-62183.0,GAS
37.6461,-87.5019,-45397.0,OFSL
36.1319,-96.0181,-20584.0,BIOMASS
39.1364,-108.7347,-6609.0,GAS
34.0128,-85.9708,-3822.0,GAS
39.341622,-101.705188,-3007.999,GAS
25.4756,-80.47,-2113.997,OIL
40.6806,-95.8475,-1023.001,GAS
40.6661,-95.868333,-741.999,GAS
41.2583,-70.0517,-724.0,OIL
39.1992,-96.3086,-638.998,GAS
40.106931,-88.599867,-565.002,GAS
44.5431,-93.5731,-465.001,GAS
34.9944,-78.1583,-424.0,OIL
34.5739,-82.4621,-415.0,BIOMASS
40.6756,-96.177778,-411.0,GAS
39.904922,-95.803367,-384.002,GAS
41.166928,-80.74769,-376.0,OIL
43.8264,-83.2383,-360.0,OIL
38.2844,-104.5308,-339.0,OIL
38.0492,-103.7136,-322.0,OIL
42.893333,-97.353333,-311.0,0
42.1697,-92.0222,-308.0,GAS
42.0272,-93.5828,-306.0,OIL
41.8508,-87.6533,-301.0,OIL
42.2739,-83.1119,-293.0,OIL
41.2108,-73.1075,-273.0,OIL
46.8661,-96.7464,-242.0,OIL
42.1225,-83.185,-239.0,OIL
41.359491,-93.563268,-216.0,OIL
45.8475,-87.0036,-207.0,OIL
42.1817,-92.4663,-189.0,OIL
38.2667,-104.6144,-182.0,OIL
42.07,-90.66,-179.0,OIL
42.035556,-90.665,-176.002,GAS
24.710833,-81.0927,-174.0,OIL
44.0501,-94.4178,-172.999,OIL
37.678454,-96.97193,-168.0,GAS
42.7106,-83.4569,-160.0,OIL
39.43619,-99.27793,-157.999,OIL
38.0794,-84.5194,-154.0,GAS
42.792645,-86.103583,-152.0,OIL
42.1925,-92.4747,-137.0,OIL
45.036685,-99.120186,-132.0,OIL
43.0147,-89.4603,-129.0,GAS
44.876484,-97.732102,-125.0,OIL
39.4244,-92.4837,-122.0,OIL
35.3017,-81.2092,-121.002,OIL
42.8067,-86.0558,-90.999,GAS
42.1926,-92.4636,-88.0,OIL
29.0213,-80.9949,-87.0,OIL
45.836675,-90.97352,-84.0,OIL
38.327778,-75.217222,-81.001,OIL
37.4903,-120.9044,-76.0,GAS
35.7736,-80.2594,-76.0,OIL
33.453611,-79.316111,-59.0,BIOMASS
35.541982,-80.612301,-59.0,OIL
40.658333,-73.640556,-56.001,GAS
34.8986,-81.7397,-56.001,OIL
35.483274,-80.856916,-53.0,OIL
38.633183,-95.827658,-49.001,GAS
40.3664,-96.19,-49.0,GAS
35.7972,-80.8542,-48.0,OIL
35.924393,-79.990124,-48.0,OIL
32.0411,-81.145,-47.0,OIL
35.383222,-80.832879,-47.0,OIL
35.798462,-80.942709,-46.0,OIL
35.3036,-81.5225,-45.0,OIL
41.9067,-95.0347,-41.001,OIL
42.7108,-83.4561,-38.0,OIL
35.729,-81.748075,-38.0,OIL
35.7208,-81.66243,-33.0,OIL
43.1133,-89.3128,-28.0,GAS
35.830877,-80.242154,-27.0,OIL
35.0767,-80.8816,-24.0,OIL
47.6785,-104.15665,-24.0,GAS
35.3619,-81.8344,-11.0,OIL
35.7481,-81.6072,-9.0,OIL
45.779189,-92.678047,-2.001,OIL
45.654835,-92.465063,-2.0,OIL
41.12055,-83.97062,0.0,GAS
43.07,-89.4006,0.0,GAS
39.7283,-75.6289,0.0,OIL
35.2089,-97.4424,0.0,GAS
44.3274,-71.68,0.0,BIOMASS
40.048889,-86.8992,0.0,COAL
45.0688,-83.8932,0.0,GAS
33.568164,-86.79873,0.0,GAS
34.605,-79.785,0.0,BIOMASS
31.844708,-83.940734,0.0,COAL
32.8458,-90.4211,0.0,0
44.3953,-89.826,0.0,BIOMASS
34.0564,-118.2436,0.0,GAS
36.571485,-119.419176,0.0,BIOMASS
36.5489,-82.5667,0.0,GAS
29.97876,-93.952294,0.0,GAS
44.546503,-70.544286,0.0,GAS
40.7995,-124.2028,0.0,GAS
39.600408,-75.626811,0.0,OIL
34.2338,-80.6558,0.0,GAS
47.522428,-92.540951,0.0,COAL
33.78856,-118.229392,0.0,GAS
39.95,-83.015833,0.98,OIL
40.476742,-93.010018,0.998,OIL
43.9719,-74.1861,1.0,OIL
42.393622,-71.046617,1.0,OIL
33.489767,-80.870272,1.0,GAS
44.525887,-94.718812,1.0,OIL
41.503889,-94.3172,1.0,OIL
37.7881,-90.4336,1.0,OIL
40.598839,-98.38863,1.0,GAS
40.327952,-98.450252,2.0,OIL
42.276,-96.7292,2.0,GAS
37.227778,-96.989722,2.0,OIL
32.3103,-90.859867,2.0,GAS
40.840648,-73.848367,2.0,OIL
32.55078,-88.60669,2.0,OIL
41.145634,-102.977836,2.001,GAS
41.7697,-88.28,2.001,GAS
35.7766,-81.6643,3.0,OIL
39.9294,-83.012,3.92,OIL
37.7036,-77.6639,3.996,OIL
36.2039,-97.0739,4.0,OIL
40.06084,-111.73023,4.0,GAS
41.641588,-99.3698,4.0,OIL
41.68138,-98.36756,4.0,OIL
38.760695,-77.62089,4.0,OIL
39.952367,-83.014425,4.9,OIL
44.106888,-94.219697,4.999,OIL
41.092589,-102.471547,5.0,OIL
45.676389,-94.801944,5.0,OIL
41.829754,-97.456275,5.0,GAS
40.387242,-86.939136,5.0,OIL
40.968929,-73.886589,5.0,OIL
33.7036,-84.1494,5.88,OIL
43.3744,-92.1331,5.88,OIL
40.0244,-92.4896,6.0,OIL
29.26514,-94.832945,6.0,GAS
37.2758,-97.1636,6.0,OIL
42.430539,-97.090814,6.001,GAS
43.507,-90.669,7.0,OIL
40.7551,-86.0575,7.0,OIL
42.0296,-94.3699,7.0,OIL
35.477415,-81.262259,7.0,OIL
38.032717,-102.073659,7.001,OIL
39.961419,-83.049072,7.84,OIL
42.7019,-89.8697,8.0,OIL
40.4578,-92.181,8.0,OIL
41.061194,-75.058242,8.0,OIL
42.021667,-95.363333,8.0,OIL
39.69755,-92.053456,8.0,OIL
39.716944,-92.945833,8.0,OIL
36.1438,-97.0681,8.001,OIL
40.4797,-96.9604,9.0,OIL
37.9953,-98.7602,9.0,OIL
42.2691,-96.8621,9.001,OIL
43.7217,-82.9388,9.798,OIL
42.9828,-90.6558,9.998,OIL
42.282807,-94.288965,10.0,OIL
42.0507,-90.3942,10.0,GAS
44.0399,-95.4429,10.0,OIL
37.1517,-98.0311,10.001,GAS
41.981111,-87.719167,10.78,GAS
