balancing_authority,annual_electricity_TWh,annual_co2_Mtons
PJM,37.53286616,21.61616641
MISO,8.19491868,5.623462611
SWPP,7.3469682,5.864564915
PACW,6.50192166,2.482692331
BPAT,6.17958432,3.075414761
ERCO,5.26774716,2.680132904
TVA,2.90394,1.635418359
SRP,2.323152,0.870062423
DUK,2.29992048,1.204767869
GCPD,2.07922104,0
SOCO,1.93983192,1.062581993
NEVP,1.887561,0.76671013
SCEG,1.8004428,0.892919752
PACE,1.45197,1.264157874
WACM,1.40550696,1.42859123
AZPS,1.3648518,0.64607092
PNM,1.3358124,1.150403595
DOPD,0.6969456,0
CISO,0.593930898,0.222007854
NYIS,0.1161576,0.050370016
PSEI,0.09873396,0.035123287
PSCO,0.0871182,0.072925434
PGE,0.05227092,0.045724461
