STUSPS,n_facilities,electricity_twh,co2_mt,total_capacity_mw,mean_sqft,mean_capacity_per_dc_mw,mean_electricity_per_dc_twh,mean_co2_per_dc_mt,carbon_intensity_g_per_kwh
VA,142,21.397300757339092,6.950120599993544,4211.403865009269,194766.16338498538,29.657773697248373,0.15068521660097953,0.048944511267560165,324.8129602333001
IA,26,7.1690088,3.193216621145826,1411.0,453256.76923076925,54.26923076923077,0.2757311076923077,0.12281602389022407,445.41954267733996
OH,38,8.8355112,2.869888548046477,1739.0,264114.65789473685,45.76315789473684,0.23251345263157894,0.07552338284332834,324.8129602333001
TX,22,4.6082856,1.5342741300641611,907.0,324915.9090909091,41.22727272727273,0.2094675272727273,0.0697397331847346,332.93816035711006
NE,8,3.531156,1.3959279168945666,695.0,550750.0,86.875,0.4413945,0.17449098961182083,395.3175438566199
OR,56,11.1294924,1.3280567951617592,2190.5,247840.44642857142,39.11607142857143,0.19874093571428572,0.023715299913602845,119.32770583155788
AZ,12,3.226308,1.29213860414946,635.0,435611.75,52.916666666666664,0.268859,0.107678217012455,400.500697437895
OK,8,2.8960559999999997,1.1448617447912273,570.0,468750.0,71.25,0.36200699999999997,0.1431077180989034,395.3175438566199
WY,2,1.2295536,1.042670943272611,242.0,195389.99044749085,121.0,0.6147768,0.5213354716363054,848.0077186326898
UT,5,1.2702,0.8123959353633332,250.0,495000.0,50.0,0.25404,0.16247918707266665,639.5811174329501
IL,8,2.3574911999999997,0.7657436953959548,464.0,378714.28571428574,58.0,0.29468639999999996,0.09571796192449435,324.8129602333001
GA,9,1.6969872,0.6486918331246707,334.0,501875.0,37.111111111111114,0.18855413333333332,0.07207687034718563,382.26088748617
SC,10,1.575048,0.5323637619429754,310.0,243500.0,31.0,0.1575048,0.05323637619429754,337.99843683683
NV,5,1.65126,0.5279438846472282,325.0,480723.25,65.0,0.330252,0.10558877692944564,319.72183947242
AL,2,1.52424,0.44318935433069373,300.0,1385000.0,150.0,0.76212,0.22159467716534686,290.76087383266
NC,8,2.0119968,0.44227426660801206,396.0,320378.75,49.5,0.2514996,0.05528428332600151,219.81857357229
TN,5,1.01616,0.2954595695537958,200.0,410500.0,40.0,0.203232,0.059091913910759165,290.76087383266
NM,8,1.168584,0.20897540479996132,230.0,451875.0,28.75,0.146073,0.026121925599995165,178.82788468776
CA,3,0.519577558105594,0.0870461415365229,102.26294247079082,327664.8122968162,34.087647490263606,0.17319251936853133,0.0290153805121743,167.53252749002002
PA,1,0.2438784,0.07921486504096083,48.0,300000.0,48.0,0.2438784,0.07921486504096083,324.8129602333
CO,1,0.076212,0.027747126539371978,15.0,861113.0,15.0,0.076212,0.027747126539371978,364.07818374235
WA,23,2.5251576,0.026119657861675485,497.0,112582.64264159398,21.608695652173914,0.10978946086956522,0.0011356372983337168,10.343773339800844
NY,1,0.101616,0.022087955602652903,20.0,2900000.0,20.0,0.101616,0.022087955602652903,217.36690681244
