BACODE,BANAME,BANGENAN,BACO2AN,BACO2RTA,BACO2CRT,BACO2EQA,BAC2ERTA,BAC2ECRT,BAFSC2ERT,ci_total_g_per_kwh,ci_combustion_g_per_kwh,ci_total_co2e_g_per_kwh,ci_combustion_co2e_g_per_kwh,ci_fossilonly_g_per_kwh,ba_ef_kg_per_mwh
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",825434.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZPS,Arizona Public Service Company,16182053.996,11707179.598,1446.934,1707.477,11791796.353,1457.392,1719.819,1743.27,656.31822229358,774.49853915049,661.0618912990401,780.09677618103,790.7339708499001,656.31822229358
DEAA,"Arlington Valley, LLC - AVBA",3496839.0,1526403.427,873.019,873.019,1527939.414,873.897,873.897,873.897,395.99475726503005,395.99475726503005,396.39301136589006,396.39301136589006,396.39301136589006,395.99475726503005
AECI,"Associated Electric Cooperative, Inc.",26651267.008,17126002.767,1285.192,1426.294,17219491.106,1292.208,1434.08,1435.065,582.95328518504,646.95607577678,586.1356892529601,650.4877459696,650.9345344540501,582.95328518504
AVRN,Avangrid Renewables LLC,7392960.59,1365296.619,369.35,890.802,1366648.779,369.716,891.684,891.684,167.53434185950002,404.06099038074,167.70035666692002,404.46105885108,404.46105885108,167.53434185950002
AVA,Avista Corporation,8155835.997,1463061.975,358.777,830.891,1482493.243,363.542,841.926,965.266,162.73850973149,376.88581790167,164.89987737453998,381.89120970462005,437.83729262042,162.73850973149
BANC,Balancing Authority of Northern California,12318907.996,2363328.601,383.691,873.955,2365671.532,384.072,874.821,931.201,174.03931003767,396.41931972335004,174.21212873064002,396.81213071577,422.38566853637,174.03931003767
BPAT,Bonneville Power Administration,94877615.402,10078741.605,212.458,1166.405,10135295.86,213.65,1172.95,1256.509,96.36932774546,529.07240832985,96.9100098505,532.0411703915,569.9428952363301,96.36932774546
CISO,California Independent System Operator,187285875.215,34586633.618,369.346,828.603,34708838.864,370.651,831.531,864.308,167.53252749002002,375.84799855911,168.12446553287,377.17611701847,392.04351412996004,167.53252749002002
CEA,Chugach Electric Assn Inc,2183560.001,905184.689,829.091,956.297,906138.057,829.964,957.304,977.397,376.06935163567005,433.76902265389003,376.46533777468005,434.22579017048,443.33982166089004,376.06935163567005
HST,City of Homestead,-3965.0,52.515,-26.489,-26.489,52.749,-26.607,-26.607,-26.607,-12.015208288930001,-12.015208288930001,-12.06873218859,-12.06873218859,-12.06873218859,-12.015208288930001
