region_B_1,n_facilities,electricity_twh,co2_mt,ci_g_per_kwh,total_capacity_mw
PJM,189,32.83418155733909,10.664967708476937,324.81296023330003,6462.403865009269
MISO,26,7.1690088,3.193216621145826,445.41954267734,1411.0
SWPP,16,6.427212,2.540789661685794,395.31754385662,1265.0
PACW,27,5.6879556,0.7915738686254419,139.1666750397,1119.5
BPAT,29,5.4059712,0.5209698103553176,96.36932774546,1064.0
ERCO,22,4.6082856,1.5342741300641611,332.93816035711006,907.0
TVA,7,2.5404,0.7386489238844895,290.76087383266,500.0
SRP,6,2.03232,0.508502522549593,250.20790158518002,400.0
DUK,8,2.0119968,0.44227426660801206,219.81857357229,396.0
GCPD,19,1.8189264,0.0,0.0,358.0
SOCO,9,1.6969872,0.6486918331246707,382.26088748617,334.0
NEVP,5,1.65126,0.5279438846472282,319.72183947242,325.0
SCEG,10,1.575048,0.5323637619429754,337.99843683683,310.0
PACE,5,1.2702,0.8123959353633332,639.5811174329501,250.0
WACM,2,1.2295536,1.042670943272611,848.0077186326901,242.0
AZPS,6,1.193988,0.783636081599867,656.31822229358,235.0
PNM,8,1.168584,0.20897540479996132,178.82788468776,230.0
DOPD,2,0.609696,0.0,0.0,120.0
CISO,3,0.519577558105594,0.0870461415365229,167.53252749002002,102.26294247079082
NYIS,1,0.101616,0.022087955602652903,217.36690681244,20.0
PSEI,1,0.0863736,0.02514039130085722,291.0656879053,17.0
PSCO,1,0.076212,0.027747126539371978,364.07818374235,15.0
PGE,1,0.045727199999999996,0.016492382741817864,360.66898348943005,9.0
