,attributed_twh,share_pct,fuel_group
GAS,31.195959188975316,38.15502285852527,fossil
NUCLEAR,17.073818796550817,20.88257464751841,nuclear
COAL,12.448756515594315,15.225772880885671,fossil
HYDRO,9.009259971571156,11.019007880840391,renewable
WIND,7.8954538258365154,9.656738533934407,renewable
SOLAR,2.655839843989789,3.248293451795001,renewable
BIOMASS,0.8858679825073497,1.083483694713534,renewable
OFSL,0.2765857679610559,0.33828536045227114,fossil
GEOTHERMAL,0.20803425464622957,0.2544416632070828,renewable
OIL,0.11150496781214098,0.136379028127941,fossil
OTHF,0.0,0.0,fossil
