Quantity,Notebook,Round3_target,delta,delta_%
Number of HDCs (after US filter),403.0,403.0,0.0,0.0
"Total electricity, low-load u=0.48 (TWh)",67.66434299209216,67.7,-0.03565700790784376,-0.05266914018883864
"Total electricity, central u=0.58 (TWh)",81.76108111544468,81.8,-0.038918884555315,-0.0475780984783802
"Total electricity, continuity u=0.663 (TWh)",93.46137375782729,93.5,-0.038626242172711045,-0.04131148895477117
"Total electricity, AI-high u=0.70 (TWh)",98.67716686346772,98.6,0.07716686346772406,0.07826253901391893
"Total CO2, low-load u=0.48 (Mt)",21.24447670830409,21.3,-0.055523291695909194,-0.2606727309667098
"Total CO2, central u=0.58 (Mt)",25.67040935586744,25.7,-0.029590644132557742,-0.11513869312279278
"Total CO2, continuity u=0.663 (Mt)",29.343933453345027,29.4,-0.05606654665497146,-0.19070253964276007
"Total CO2, AI-high u=0.70 (Mt)",30.98152853294346,31.0,-0.018471467056539126,-0.05958537760173911
HDC-weighted total-output CI (g/kWh),313.968565552863,314.0,-0.03143444713697363,-0.010010970425787781
US national total-output CI (g/kWh),348.00014859533,348.0,0.00014859533001754244,4.2699807476305295e-05
Combustion-output diagnostic CI (g/kWh),542.722782477957,543.0,-0.27721752204297445,-0.051052950652481485
"Fossil share, attributed (%)",53.855460127991165,53.9,-0.04453987200883347,-0.08263427088837379
"Nuclear share, attributed (%)",20.882574647518414,20.9,-0.01742535248158461,-0.08337489225638571
"Renewable share, attributed (%)",25.261965224490424,25.3,-0.038034775509576235,-0.1503350810655187
