region_B_1,n_facilities,electricity_twh,co2_mt,total_capacity_mw,scenario,u,ci_g_per_kwh
AZPS,6,0.988128,0.6485264123585106,235.0,low_load,0.48,656.31822229358
BPAT,29,4.4739072,0.4311474292595732,1064.0,low_load,0.48,96.36932774545998
CISO,3,0.4299952205011813,0.07203818609919137,102.26294247079082,low_load,0.48,167.53252749002002
DOPD,2,0.504576,0.0,120.0,low_load,0.48,0.0
DUK,8,1.6651008,0.36602008271007896,396.0,low_load,0.48,219.81857357229
ERCO,22,3.8137536,1.2697441076393057,907.0,low_load,0.48,332.93816035711006
GCPD,19,1.5053184,0.0,358.0,low_load,0.48,0.0
MISO,26,5.9329728,2.6426620312930975,1411.0,low_load,0.48,445.41954267734
NEVP,5,1.36656,0.43691907694943033,325.0,low_load,0.48,319.7218394724201
NYIS,1,0.084096,0.018279687395298953,20.0,low_load,0.48,217.36690681243996
PACE,5,1.0512000000000001,0.6723276706455171,250.0,low_load,0.48,639.58111743295
PACW,27,4.707273600000001,0.6550956154141588,1119.5,low_load,0.48,139.1666750397
PGE,1,0.0378432,0.013648868475987197,9.0,low_load,0.48,360.66898348943
PJM,189,27.173115771590975,8.826180172532638,6462.403865009269,low_load,0.48,324.81296023330003
PNM,8,0.9671040000000001,0.17294516259307144,230.0,low_load,0.48,178.82788468776
PSCO,1,0.063072,0.0229631392049975,15.0,low_load,0.48,364.07818374234995
PSEI,1,0.07148159999999999,0.02080584107657149,17.0,low_load,0.48,291.0656879053
SCEG,10,1.303488,0.4405769064355659,310.0,low_load,0.48,337.9984368368301
SOCO,9,1.4044032,0.5368484136204171,334.0,low_load,0.48,382.26088748617
SRP,6,1.68192,0.420829673834146,400.0,low_load,0.48,250.20790158518002
SWPP,16,5.319072,2.1027224786365193,1265.0,low_load,0.48,395.3175438566199
TVA,7,2.1024,0.6112956611457844,500.0,low_load,0.48,290.76087383266
WACM,2,1.0175616,0.8629000909842299,242.0,low_load,0.48,848.00771863269
AZPS,6,1.193988,0.783636081599867,235.0,central_reference,0.58,656.31822229358
BPAT,29,5.4059712,0.5209698103553176,1064.0,central_reference,0.58,96.36932774545998
CISO,3,0.519577558105594,0.0870461415365229,102.26294247079082,central_reference,0.58,167.53252749002002
DOPD,2,0.609696,0.0,120.0,central_reference,0.58,0.0
DUK,8,2.0119968,0.44227426660801206,396.0,central_reference,0.58,219.81857357229
ERCO,22,4.6082856,1.5342741300641611,907.0,central_reference,0.58,332.93816035711006
GCPD,19,1.8189264,0.0,358.0,central_reference,0.58,0.0
MISO,26,7.1690088,3.193216621145826,1411.0,central_reference,0.58,445.41954267733996
NEVP,5,1.65126,0.5279438846472282,325.0,central_reference,0.58,319.72183947242
NYIS,1,0.101616,0.022087955602652903,20.0,central_reference,0.58,217.36690681244
PACE,5,1.2702,0.8123959353633332,250.0,central_reference,0.58,639.5811174329501
PACW,27,5.6879556,0.7915738686254419,1119.5,central_reference,0.58,139.1666750397
PGE,1,0.045727199999999996,0.016492382741817864,9.0,central_reference,0.58,360.66898348943005
PJM,189,32.83418155733909,10.664967708476937,6462.403865009269,central_reference,0.58,324.81296023330003
PNM,8,1.168584,0.20897540479996132,230.0,central_reference,0.58,178.82788468776
PSCO,1,0.076212,0.027747126539371978,15.0,central_reference,0.58,364.07818374235
PSEI,1,0.0863736,0.02514039130085722,17.0,central_reference,0.58,291.0656879053
SCEG,10,1.575048,0.5323637619429754,310.0,central_reference,0.58,337.99843683683
SOCO,9,1.6969872,0.6486918331246707,334.0,central_reference,0.58,382.26088748617
SRP,6,2.03232,0.508502522549593,400.0,central_reference,0.58,250.20790158518002
SWPP,16,6.427212,2.540789661685794,1265.0,central_reference,0.58,395.3175438566199
TVA,7,2.5404,0.7386489238844895,500.0,central_reference,0.58,290.76087383266
WACM,2,1.2295536,1.042670943272611,242.0,central_reference,0.58,848.0077186326898
AZPS,6,1.3648518,0.8957771070701929,235.0,continuity_sensitivity,0.663,656.3182222935801
BPAT,29,6.17958432,0.5955223866647856,1064.0,continuity_sensitivity,0.663,96.36932774546
