STUSPS,n_facilities,electricity_twh,co2_mt,total_capacity_mw,scenario,u,ci_g_per_kwh
AL,2,1.26144,0.3667773966874706,300.0,low_load,0.48,290.76087383266
AZ,12,2.670048,1.0693560861926565,635.0,low_load,0.48,400.500697437895
CA,3,0.4299952205011813,0.07203818609919137,102.26294247079082,low_load,0.48,167.53252749002002
CO,1,0.063072,0.0229631392049975,15.0,low_load,0.48,364.07818374234995
GA,9,1.4044032,0.5368484136204171,334.0,low_load,0.48,382.26088748617
IA,26,5.9329728,2.6426620312930975,1411.0,low_load,0.48,445.41954267734
IL,8,1.9510272,0.6337189203276867,464.0,low_load,0.48,324.81296023330003
NC,8,1.6651008,0.36602008271007896,396.0,low_load,0.48,219.81857357229
NE,8,2.922336,1.1552506898437793,695.0,low_load,0.48,395.3175438566199
NM,8,0.9671040000000001,0.17294516259307144,230.0,low_load,0.48,178.82788468776
NV,5,1.36656,0.43691907694943033,325.0,low_load,0.48,319.7218394724201
NY,1,0.084096,0.018279687395298953,20.0,low_load,0.48,217.36690681243996
OH,38,7.3121472,2.3750801776936363,1739.0,low_load,0.48,324.81296023330003
OK,8,2.396736,0.94747178879274,570.0,low_load,0.48,395.3175438566199
OR,56,9.2106144,1.099081485651111,2190.5,low_load,0.48,119.32770583155788
PA,1,0.2018304,0.06555712968907104,48.0,low_load,0.48,324.8129602333001
SC,10,1.303488,0.4405769064355659,310.0,low_load,0.48,337.9984368368301
TN,5,0.84096,0.24451826445831376,200.0,low_load,0.48,290.76087383265997
TX,22,3.8137536,1.2697441076393057,907.0,low_load,0.48,332.93816035711006
UT,5,1.0512000000000001,0.6723276706455171,250.0,low_load,0.48,639.58111743295
VA,142,17.708110971590976,5.7518239448222435,4211.403865009269,low_load,0.48,324.81296023330003
WA,23,2.0897856,0.02161626857517971,497.0,low_load,0.48,10.343773339800844
WY,2,1.0175616,0.8629000909842299,242.0,low_load,0.48,848.00771863269
AL,2,1.52424,0.44318935433069373,300.0,central_reference,0.58,290.76087383266
AZ,12,3.226308,1.29213860414946,635.0,central_reference,0.58,400.500697437895
CA,3,0.519577558105594,0.0870461415365229,102.26294247079082,central_reference,0.58,167.53252749002002
CO,1,0.076212,0.027747126539371978,15.0,central_reference,0.58,364.07818374235
GA,9,1.6969872,0.6486918331246707,334.0,central_reference,0.58,382.26088748617
IA,26,7.1690088,3.193216621145826,1411.0,central_reference,0.58,445.41954267733996
IL,8,2.3574911999999997,0.7657436953959548,464.0,central_reference,0.58,324.8129602333001
NC,8,2.0119968,0.44227426660801206,396.0,central_reference,0.58,219.81857357229
NE,8,3.531156,1.3959279168945666,695.0,central_reference,0.58,395.3175438566199
NM,8,1.168584,0.20897540479996132,230.0,central_reference,0.58,178.82788468776
NV,5,1.65126,0.5279438846472282,325.0,central_reference,0.58,319.72183947242
NY,1,0.101616,0.022087955602652903,20.0,central_reference,0.58,217.36690681244
OH,38,8.8355112,2.869888548046477,1739.0,central_reference,0.58,324.8129602333001
OK,8,2.8960559999999997,1.1448617447912273,570.0,central_reference,0.58,395.3175438566199
OR,56,11.1294924,1.3280567951617592,2190.5,central_reference,0.58,119.32770583155788
PA,1,0.2438784,0.07921486504096083,48.0,central_reference,0.58,324.8129602333
SC,10,1.575048,0.5323637619429754,310.0,central_reference,0.58,337.99843683683
TN,5,1.01616,0.2954595695537958,200.0,central_reference,0.58,290.76087383266
TX,22,4.6082856,1.5342741300641611,907.0,central_reference,0.58,332.93816035711006
UT,5,1.2702,0.8123959353633332,250.0,central_reference,0.58,639.5811174329501
VA,142,21.397300757339092,6.950120599993544,4211.403865009269,central_reference,0.58,324.8129602333001
WA,23,2.5251576,0.026119657861675485,497.0,central_reference,0.58,10.343773339800844
WY,2,1.2295536,1.042670943272611,242.0,central_reference,0.58,848.0077186326898
AL,2,1.742364,0.5066112791745689,300.0,continuity_sensitivity,0.663,290.7608738326601
